,Unnamed: 0,STATE,DISTRICT,Storage name,Address,Manager Name,capacity,Longitude,Latitude
324,324,Andhra Pradesh,Guntur,M/S Soami Warehouse,"Sy.No.729/1, S.Uppalapadu Village, Jammalamadugu Mandal",,8211.0,78.3824215,14.8448555
325,325,Andhra Pradesh,Guntur,M/S Sravanthi Cold Storage Pvt. Ltd,Ankireddy Palem,,9350.0,80.3923079,16.2876751
326,326,Andhra Pradesh,Guntur,M/S Sri Lakshmi Lavanya Cold Storage (P) Ltd. (Promoters-S/Shri. A Satyanarayana And A S Rao),Navabpet,,8528.0,78.0304434,16.8979223
327,327,Andhra Pradesh,Guntur,M/S Sri Sai Surya Cold Storage Pvt. Ltd.,Ankireddy Palem,,7700.0,80.3923079,16.2876751
328,328,Andhra Pradesh,Guntur,M/S Sri Sai Tulasi Cold Storage Pvt. Ltd.,Ankireddypalem,,8700.0,80.3923079,16.2876751
329,329,Andhra Pradesh,Guntur,"M/S Sri. Lakshmi Venkateswara Cold Storage Pvt. Ltd. ( Promoters- S/Shri.K M Reddy, MD,K S Srinivas,Director)",Ankireddypalli,,8615.0,79.0072883,15.3960875
330,330,Andhra Pradesh,Guntur,"M/S Sri.Sai Tirumala Cold Storage (P) Ltd. ( Promoters- S/Shri. G R Rao, G V Rao And Others)",Kesanapally,,10143.0,,
331,331,Andhra Pradesh,Guntur,"M/S Sridevi Associates ( Sridevi Rural Godowns ), Partnership","S.No.216, Rajupalem,",,4815.0,,
332,332,Andhra Pradesh,Guntur,M/S Subham Maheswari Cold Storage Pvt. Ltd.,Duggirala,,7500.0,80.6271912,16.3273225
333,333,Andhra Pradesh,Guntur,M/S Tickwell Trexim Pvt. Ltd.,Ankireddypalem,,6438.35,80.3923079,16.2876751
334,334,Andhra Pradesh,Guntur,M/S Vemullapalli Raghunath Rural Farmers Warehouse ( Sri Vemulapalli Raghunath),"Pallikona, Bhattiprolu, Guntur",,208.0,80.4365402,16.3066525
335,335,Andhra Pradesh,Guntur,M/S Vigneswara Cold Storage,Nandigama,,10143.0,80.2859096,16.7724159
336,336,Andhra Pradesh,Guntur,M/S Visalakshi Cold Storage Pvt. Ltd.,Ankireddypalem,,8164.0,80.3923079,16.2876751
337,337,Andhra Pradesh,Guntur,M/S Viswa Cold Storage Pvt. Ltd,Ankireddypalem,,2000.0,80.3923079,16.2876751
338,338,Andhra Pradesh,Guntur,M/S. Chaitanya Industires (M/S SNM Storagesystems),"D.No.297/1, 297/2, 292/B/C, 292/B/B, 292/B/A And 296 A & B, Dokiparru (V), Medikonduru (M)",,14416.0,80.2989584,16.3466357
339,339,Andhra Pradesh,Guntur,M/S. Dhullipalla Nageswara Rao Rural Godowns,"Chinthalapudi Village, Chinthalapudi Panchayat, Ponnur Mandal, Guntur",,427.0,80.4365402,16.3066525
340,340,Andhra Pradesh,Guntur,MS Jyothi Swaroopa Cold Storage,,Shri P Siva Rama Krishna Reddy,7600.0,,
341,341,Andhra Pradesh,Guntur,MS K S R Cold Storage Pvt Ltd,D No 466 3 Nadikudi V Dachepalli M Guntur District,Shri K Sreenivasa,11000.0,79.7068596,16.5879495
342,342,Andhra Pradesh,Guntur,MS Vasaviratna Cold Storage Pvt Ltd,Thikkireddypalem V Parthipadu M Guntur District,Shri Kothuri Venkata Appa Rao,7000.0,80.3358008,16.1813812
343,343,Andhra Pradesh,Guntur,Mag Cold Storage,NH 05 ANKIREDDIPALEM VILLAGE,Ramanjneelu,0.0,80.3923079,16.2876751
344,344,Andhra Pradesh,Guntur,Mahalaxmi Cold Storage Pvt Ltd,DURGI ROAD MACHARLA VILAGE MANDAL,S.K.Ameer,4675.0,79.4365006,16.4760816
345,345,Andhra Pradesh,Guntur,"Mandava Tirumala Rao, S/O Subba Ramaiah","Block No. 7, D. No.354/2, Govada Panchayat And Village, Amarthaluru Mandal",,69.3,,
346,346,Andhra Pradesh,Guntur,Mandava Venkata Ratnam,"Block No. 7, D. No.153, Govada Panchayat And Village, Amarthaluru Mandal",,172.0,,
347,347,Andhra Pradesh,Guntur,Mangalgiri,Mangalagiri Market Yard,,1000.0,80.5662454,16.4345712
348,348,Andhra Pradesh,Guntur,Manikanta Cold Storage,Kubadpuram,,8495.0,79.9626354,16.4683884
349,349,Andhra Pradesh,Guntur,Manikanta Cold Storage Pvt Ltd,KUBHADHPURAMVILAGERAJUPALEMMANDAL,Narayana,0.0,,
350,350,Andhra Pradesh,Guntur,"Maredy Sambi Reddy, S/O Seshi Reddy","Panchayat Road, Thumuluru Village, Kollipara Mandal",,131.634,77.3410569,16.850763
351,351,Andhra Pradesh,Guntur,Mitapalli Cold Storage,NH5 ANKIREDDY PALEM,Rsrinivasarap,0.0,83.9275643,18.3159269
352,352,Andhra Pradesh,Guntur,Mittapalemnarayanaswamy Cold Storage,ANKIREDDY PALEM NH-5,Prasadrao,4000.0,83.9275643,18.3159269
353,353,Andhra Pradesh,Guntur,Mohan Rural Godown ( Prathipati Mohan Babu ),"Narasayapalem Village, Baptala Mandal",,123.0,80.4681844,15.9040102
354,354,Andhra Pradesh,Guntur,Mpr Cold Storage,NH 5 MARCHI YARD,S Srikanth,0.0,77.1031998,31.0306204
355,355,Andhra Pradesh,Guntur,Ms Green Holdings Inc,,Shri Pochampally Srinivas Rao,4454.0,,
356,356,Andhra Pradesh,Guntur,Ms Laxmi Vallabha Cold Storage P Ltd,,Shri A Babu Rao,9075.0,,
357,357,Andhra Pradesh,Guntur,Ms Palanadu Cold Storage,Rentachintala Village Guntur Dist,Ch Madhu Babu,7000.0,79.5524538,16.5544667
358,358,Andhra Pradesh,Guntur,Ms Uday Agro Technology Pvt Ltd,Sy No 66 B Etukur Village Old Guntur Guntur Distt,Shri J K Praveena Kumari,5000.0,80.4467589,16.2896415
359,359,Andhra Pradesh,Guntur,Msr Cold Storage,ETUKURU ROAD,Shankar Rao,0.0,80.4405326,16.2800938
360,360,Andhra Pradesh,Guntur,Muvva Gangi Reddy,"Valluru Village, Ward No.4, Kakumanu Mandal",,250.0,80.4284795,16.0187769
361,361,Andhra Pradesh,Guntur,N Bhaskar Rao,Nadikudi,,4769.62,79.7068596,16.5879495
362,362,Andhra Pradesh,Guntur,N. Mastan Rao,"Dhulipalla Village, Sattenapalli Mandal",,4769.62,80.1492601,16.3960329
363,363,Andhra Pradesh,Guntur,Nagalla Murali,Munipalle/Guntur,,119.0,80.5407645,16.1270527
364,364,Andhra Pradesh,Guntur,Nagothu Mariya Das,"Ravipadu Village, Narasaraopet Mandal",,110.0,80.054037,16.2359574
365,365,Andhra Pradesh,Guntur,Nandini,ANKIREDDIPALEM VILLAGE,Satishverma,5000.0,80.3923079,16.2876751
366,366,Andhra Pradesh,Guntur,Nandini Cold Storage,ANKIREDDYPALEM VILLAGE,B Subhash,4700.0,80.3923079,16.2876751
367,367,Andhra Pradesh,Guntur,Nannapaneni Sankaraiah,"Survey No.120/7, Village Poondla, Mandal Bapatla, Guntur District",,727.0,80.0087746,16.3905692
368,368,Andhra Pradesh,Guntur,Narasaraopet,Narasaraopet Market Yard,,890.0,80.051782,16.227243
